"Subject_id","Gender","Age","Group","Mode of class","Stress level baseline","Stress level one month","Stress level two months","Happiness baseline","Happiness level one month","Happiness level in two months"
1,1,69,1,1,80,87,40,66,58,9
2,1,72,1,2,85,44,37,6,67,1
3,1,75,1,1,67,5,50,4,94,5
4,2,64,1,1,47,87,22,73,26,4
5,1,54,1,3,83,23,3,58,40,6
6,2,76,1,3,84,12,23,5,71,10
7,1,25,1,1,26,26,49,36,89,9
8,2,73,1,2,33,16,38,86,19,8
9,2,33,2,1,6,23,1,43,54,10
10,1,82,2,1,57,44,29,76,60,10
11,2,3,2,3,79,49,35,61,100,10
12,1,11,1,1,10,47,50,15,81,3
13,1,81,1,2,61,44,8,97,37,1
14,2,39,1,1,17,48,21,86,89,7
15,2,27,1,1,6,13,18,10,86,10
16,2,73,2,3,34,6,3,8,45,4
17,1,35,1,3,35,45,46,54,68,7
18,1,92,1,2,52,78,34,64,59,1
19,1,55,2,2,12,18,12,60,95,4
20,1,8,1,3,6,62,13,16,30,1
21,2,67,1,1,68,92,17,46,58,2
22,1,99,1,2,35,37,18,9,59,8
23,2,31,1,3,39,42,21,24,10,9
24,2,12,1,2,10,98,16,94,22,5
25,1,57,2,3,80,76,50,24,27,7
26,2,4,2,1,50,88,33,90,72,9
27,1,73,1,2,61,79,31,28,92,9
28,2,67,2,3,76,88,18,9,15,6
29,2,79,2,1,91,46,27,22,98,3
30,1,81,2,2,63,20,5,77,27,2
31,1,73,1,2,13,91,27,81,36,9
32,1,39,2,2,41,8,28,18,77,2
33,2,70,1,3,62,51,25,42,59,8
34,2,73,1,1,88,51,13,6,77,2
35,1,88,1,2,54,82,22,91,18,4
36,2,23,2,2,34,85,23,88,26,3
37,2,50,1,3,72,31,27,98,12,3
38,1,52,1,1,6,82,29,85,59,8
39,1,63,1,3,3,51,40,14,77,3
40,1,100,2,2,5,45,10,60,91,6
41,2,90,1,2,9,80,1,76,50,3
42,2,99,2,1,24,22,15,39,32,4
43,2,83,1,2,4,12,42,75,49,1
44,1,95,1,3,57,57,39,17,15,4
45,1,64,2,3,38,84,25,94,66,5
46,2,35,2,2,60,100,23,16,4,3
47,1,2,2,1,50,57,39,55,12,4
48,1,73,1,3,21,9,22,71,53,10
49,1,16,2,2,40,66,31,44,97,3
50,1,90,2,1,41,83,24,87,6,9
51,2,58,1,3,62,43,43,11,80,6
52,2,9,2,3,32,41,31,92,73,6
53,1,39,1,1,60,70,27,35,59,9
54,1,92,1,2,53,28,10,29,75,8
55,1,23,1,2,82,71,33,49,22,5
56,2,79,2,2,81,18,16,6,57,6
57,1,81,1,1,68,75,23,50,40,2
58,2,47,1,3,79,91,27,33,62,7
59,1,62,1,3,10,37,22,3,3,3
60,2,12,2,2,16,28,29,42,30,6
61,2,52,2,1,27,62,27,55,11,1
62,1,63,1,3,85,50,21,92,48,8
63,2,56,1,3,38,61,14,29,57,10
64,1,94,1,1,14,18,6,46,26,7
65,2,79,2,3,94,2,7,29,65,6
66,1,16,1,1,75,84,44,19,47,6
67,1,5,1,1,71,27,15,74,85,4
68,2,14,1,1,84,14,32,1,63,3
69,2,19,1,2,32,21,34,85,21,10
70,2,100,2,2,89,68,40,23,33,2
71,2,9,1,2,56,72,45,79,22,7
72,1,87,1,1,42,48,23,63,73,7
73,1,64,2,3,95,41,26,17,71,9
74,1,25,1,1,35,17,2,67,74,9
75,2,23,2,2,11,89,37,81,18,5
76,1,13,1,3,93,50,34,71,86,4
77,2,99,1,2,77,68,2,54,89,6
78,1,60,2,2,65,96,20,90,59,3
79,1,28,1,3,78,34,20,90,48,10
80,2,10,1,2,50,70,18,100,75,2
81,1,74,1,3,72,17,13,86,48,5
82,1,31,2,3,10,97,45,21,67,3
83,2,80,2,1,89,92,19,3,63,2
84,1,40,2,3,10,82,12,61,70,2
85,2,3,2,1,63,92,28,58,89,9
